avg_m_o_distance,std_m_o_distance,avg_m_o_m_angle,std_m_o_m_angle,min_m_o_m_angle,max_m_o_m_angle,coordination_mean,atomic_number_mean,electronegativity_mean,oxidation_state_mean,volume_per_atom,band_gap,is_metallic
2.687873441082421,0.19313310400273878,105.50362071105833,24.44995711022409,68.9850200913681,173.85065724367973,4.48,56.0,0.89,2.0,26.45174520595918,1.480999999999999,0
2.386221122785617,0.1565028026287285,105.9759865141672,27.115078081760036,68.27357600346053,177.5584929566772,4.88,20.0,1.0,2.0,16.536144763796674,2.4659,0
2.0133949936907234,0.1380278991861906,109.89434398245822,22.551520466384424,75.78315487379656,173.25462989999983,3.85,27.0,1.8799999999999997,2.0,13.043995768058414,0.347099999999999,0
2.0958702647642165,0.12508849521285187,104.66023568542903,27.970851002537977,65.88332968138407,177.3972668487424,4.48,22.0,1.5400000000000003,2.0,11.804585351569477,0.0,1
2.6897046652831413,0.17261102020074984,105.28717676144146,24.93538562086791,64.5273094602568,178.66080104065378,4.48,56.0,0.89,2.0,26.109399983729553,1.7653999999999992,0
2.1019991426127023,0.13417335173459802,106.85425349357641,28.579147308967695,65.79967565970009,175.06342532074282,2.588235294117647,22.0,1.5400000000000005,0.0,13.664951623668511,0.0,1
2.064935518100376,0.103045371565171,105.77449015552767,27.19228554806496,62.373677717592344,175.09739033719407,4.16,22.0,1.5400000000000003,2.0,12.197006090039094,0.0007000000000000001,1
2.177592492503232,0.10541096080743975,143.68300442288643,32.67501126935646,93.22703164053402,179.3677266039872,2.0,47.0,1.93,1.0,18.67286839016643,0.0,1
0.9869931178955511,0.01067830395235847,0.0,0.0,0.0,0.0,1.0,1.0,2.2000000000000006,1.0,8.876513601473189,0.0539,1
1.5516459883330558,0.26107788876120325,0.0,0.0,0.0,0.0,0.6666666666666666,9.0,3.98,0.0,12.831397856548334,0.0,1
2.08544689611117,0.07594529781339512,107.5697590993987,34.21387322837818,63.55830984325294,174.01341502868902,3.0,22.0,1.54,0.0,12.442165838952073,0.0,1
1.9923373387911165,0.0036929395566421075,119.99231781187233,42.87847837701847,80.88601635820821,179.99058974291856,4.0,24.0,1.66,2.0,11.714607408900246,0.0,1
0.9824603010458397,7.850462293418876e-17,0.0,0.0,0.0,0.0,1.0,1.0,2.2,1.0,6.053148832833973,5.275399999999999,0
1.4791725518632874,0.01144944918585671,0.0,0.0,0.0,0.0,0.375,5.0,2.0399999999999996,0.25,7.438485897476824,2.4459,0
2.3698010268562277,0.43087053881188,118.37834717528388,40.69116260088596,79.49332289501022,178.8546646540739,3.0,80.0,2.0,2.0,18.205232411079308,1.214,0
2.1874998425997787,0.06646133451389247,107.85886993147145,35.750028884224456,86.59214375115728,179.6982099345084,6.0,26.0,1.83,2.0,10.647802484813093,0.0,1
2.08769177348019,0.04333742202573054,106.80390341755069,35.20383874625797,82.86966686433254,180.0,4.8,22.0,1.54,2.0,10.745292722857165,0.0,1
2.1541832720477028,0.06149554817016192,107.99998695973157,36.03395393056631,86.4260337423605,180.0,6.0,26.0,1.83,2.0,10.623559604793007,1.8157,0
2.2118705684979543,0.10212428682215076,0.0,0.0,0.0,0.0,1.0,73.0,1.5,0.0,16.55626000180427,0.0,1
2.153128685429212,0.024340699452733497,107.59914437894007,35.33282672896655,86.75696850105537,178.21343688984365,6.0,23.0,1.63,2.0,9.93416572059243,1.9785,0
2.3337604447819857,0.04231428132840732,108.73171027603937,1.448472206888785,107.17548873145293,110.78542295298746,3.5,11.0,0.93,1.0,15.752513388454824,1.6666999999999992,0
2.5407241627028783,0.00037124401303074127,88.34580940485073,0.08952831407505171,88.27463426062975,88.53855233658253,3.0,81.0,1.62,1.0,23.815048346889792,0.5194000000000001,0
2.1683924007599114,0.0032823423945988433,107.98942824799686,36.040274907222646,86.25461112566678,179.97030771141698,6.0,26.0,1.83,2.0,10.769853825405661,0.9475000000000001,0
1.4769191736141867,0.0013536840752794118,0.0,0.0,0.0,0.0,0.375,5.0,2.0399999999999996,0.25,7.463855113392465,2.3536,0
2.7088891999010793,0.09472995198834332,107.82545277477425,3.186849743999087,104.59665253931156,112.20238660526523,3.5,19.0,0.82,1.0,24.26013848913105,0.8801,0
2.3159168368489618,0.0,120.0,42.42640687119285,90.0,180.0,4.0,50.0,1.96,2.0,16.35807103216519,0.0,1
2.021905499999999,0.0676227276291043,113.33333333333333,39.44053188733078,90.0,180.0,4.666666666666667,29.0,1.8999999999999997,2.0,11.21805092613919,0.0,1
1.9690479579839955,3.887366295532235e-15,0.0,0.0,0.0,0.0,1.0,50.0,1.96,0.0,29.019676516460866,0.0,1
2.504326587191279,0.009523375782565253,128.57142857142858,44.53844933748542,90.0,180.0,3.0,62.0,1.17,0.0,20.941230242119413,0.0,1
2.75935648760985,0.14263863179996306,128.57142857142858,44.53844933748542,90.0,180.0,3.0,19.0,0.82,1.0,27.89814585477758,0.0,1
2.234936871889223,0.09681896472656008,120.0,42.42640687119285,90.0,180.0,3.5,73.0,1.5,0.0,15.724528329235614,0.0,1
1.9433825,0.0,180.0,0.0,180.0,180.0,2.0,41.0,1.6,2.0,16.58942420167319,0.0,1
2.2093131049103705,0.0091273108261375,107.12953465280928,34.451099082987575,86.98935743456656,179.48948615103484,6.0,23.0,1.63,2.0,10.76333402735559,0.8225,0
2.326320087406371,3.1401849173675503e-16,89.4279373528209,20.59131514505619,74.86767878020241,118.5484544980579,4.0,82.0,2.33,2.0,21.03415664015185,1.4635999999999991,0
2.226914156175189,0.0,88.9513560599405,20.40008035509316,74.52632090410364,117.8014263716142,4.0,50.0,1.96,2.0,17.769148129457438,0.4096,0
2.6118146175890224,3.1401849173675503e-16,97.24967256674252,24.087071586935412,80.21754090869467,131.31393588283822,4.0,56.0,0.89,2.0,22.374703684609592,2.7678000000000003,0
2.3164473353056687,3.1401849173675503e-16,119.17758927628954,41.224076626980306,90.02776514519792,177.47723753847325,4.0,50.0,1.96,2.0,16.3240127107406,0.0,1
2.0710031056606963,2.220446049250313e-16,119.99999999999999,43.11272329291711,80.61595158806941,180.0,4.0,78.0,2.28,2.0,13.366125587156672,0.0,1
2.0458408988823216,5.146746650917763e-05,119.99982838743163,42.72876109335453,83.78186165784238,179.99975854049563,4.0,26.0,1.83,2.0,12.67349824287338,0.0,1
